county,unemployment,med_income
20191,3.0,"58,342"
20193,1.9,"61,169"
20195,2.4,"56,619"
20197,2.5,"72,031"
20199,2.0,"59,241"
20201,2.0,"55,590"
20203,2.0,"58,549"
20205,3.1,"46,829"
20207,3.5,"41,706"
20209,3.5,"54,943"
21000,3.9,"55,532"
21001,4.5,"42,112"
21003,3.8,"51,485"
21005,3.2,"67,773"
21007,4.8,"53,491"
21009,4.1,"49,245"
21011,5.2,"43,410"
21013,5.0,"31,033"
21015,3.1,"85,284"
21017,3.5,"58,304"
21019,5.1,"48,979"
21021,3.9,"52,940"
21023,4.3,"55,347"
21025,7.3,"33,005"
21027,4.6,"50,012"
21029,4.0,"68,630"
21031,4.1,"49,288"
21033,3.4,"46,240"
21035,4.0,"49,263"
21037,3.3,"71,245"
21039,3.7,"56,804"
21041,3.1,"49,814"
21043,7.0,"43,538"
21045,3.7,"38,320"
21047,4.8,"48,416"
21049,3.6,"60,774"
21051,5.6,"30,700"
21053,4.8,"36,865"
21055,4.1,"46,263"
21057,3.2,"39,511"
21059,3.9,"59,304"
21061,4.8,"47,734"
21063,8.0,"34,491"
21065,4.8,"41,843"
21067,3.1,"61,269"
21069,4.4,"50,025"
21071,5.8,"36,253"
21073,3.4,"60,517"
21075,4.5,"35,630"
21077,3.6,"57,345"
21079,3.8,"54,882"
21081,3.7,"61,078"
21083,4.5,"49,668"
21085,4.6,"45,695"
21087,3.7,"42,569"
21089,5.8,"54,292"
21091,4.2,"60,897"
21093,4.1,"61,224"
21095,6.3,"31,116"
21097,3.3,"58,535"
21099,3.9,"50,074"
21101,3.8,"56,142"
21103,3.6,"56,593"
21105,4.3,"49,328"
21107,4.4,"49,883"
21109,5.6,"36,997"
21111,3.8,"60,636"
21113,3.2,"61,652"
21115,5.9,"41,013"
