county,total,white,black,native,asian,other
18145,44940,93.249,1.389,0,0.897,4.466
18147,19935,95.515,0.652,0.02,0.401,3.411
18149,23308,94.525,0.172,0.446,0.283,4.574
18151,34507,94.392,0.313,0.055,0.551,4.689
18153,20791,91.338,3.627,0.072,0.111,4.853
18155,9896,95.049,0.303,0.243,0.02,4.386
18157,186955,78.026,5.998,0.123,7.799,8.054
18159,15328,95.936,0.515,0.111,0.757,2.681
18161,7041,95.952,0.611,0,0.682,2.755
18163,179900,83.349,9.758,0.101,1.352,5.44
18165,15488,96.171,0.446,0.11,0.174,3.099
18167,106355,85.795,6.917,0.174,2.031,5.083
18169,31032,94.718,1.128,0.296,0.367,3.49
18171,8454,96.783,0.095,0.024,0.461,2.638
18173,64065,91.476,2.064,0.078,2.44,3.943
18175,28133,96.502,0.192,0.007,0.107,3.192
18177,66522,88.105,4.343,0.409,1.075,6.069
18179,28167,93.847,1.125,0.025,0.192,4.811
18181,24630,89.529,0.487,0.11,0.288,9.586
18183,34259,94.667,0.309,0.172,0.219,4.632
19001,7479,96.163,0.642,0,0.12,3.075
19003,3680,94.837,0.299,0.435,0,4.429
19005,14046,92.418,1.716,0.94,0.598,4.329
19007,12279,94.877,0.407,0.13,0.277,4.308
19009,5651,95.293,0.301,0.071,0.035,4.3
19011,25652,95.564,0.421,0.086,0.238,3.692
19013,131041,81.515,9.768,0.338,2.639,5.74
19015,26700,95.011,1.3,0.06,0.15,3.479
19017,25012,93.771,1.311,0.22,0.88,3.818
19019,20631,96.723,0.776,0.174,0.068,2.259
19021,20687,68.449,2.929,0.232,10.253,18.137
19023,14376,96.132,0.515,0.125,1.057,2.17
19025,9893,93.753,1.152,0.111,0.334,4.65
19027,20728,93.941,1.172,0.391,0.429,4.067
19029,13116,96.645,0.747,0.229,0.374,2.005
19031,18479,96.428,0.487,0.108,0.606,2.37
19033,42979,92.098,1.826,0.221,1.252,4.602
19035,11601,92.621,1.396,0,0.009,5.974
19037,11957,96.864,0.778,0.276,0.033,2.049
19039,9737,85.796,0.041,0.185,0.534,13.444
19041,16423,94.648,0.572,0.17,0.341,4.268
19043,17123,96.099,0.391,0.082,0.356,3.072
19045,46488,91.583,3.022,0.213,0.942,4.24
19047,16450,76.438,2.413,0.146,2.243,18.76
19049,100367,85.514,2.301,0.218,4.567,7.4
19051,9093,96.206,0,0.385,0.462,2.947
19053,7684,93.389,1.262,0.26,0.612,4.477
